HYP4 'beide frisch': M3-DREIER 1. Touch, in Zone eines H1-DREIER (gleiche Richtung, OPEN, 0 Touches)
DB-Zeitraum: 2026-06-29 bis 2026-07-31 (aktuelle FDAX.db)
N = 95

 eventId  m3Pattern  h1Pattern dir    zeit                 exit             profit
     780        151        179 SHORT  2026-06-29 19:12:04  EXIT_SL           -10.0
    1663        355        388 SHORT  2026-06-30 17:12:38  EXIT_SL           -10.0
    1681        407        388 SHORT  2026-06-30 17:34:31  EXIT_SL           -10.0
    1702        352        388 SHORT  2026-06-30 17:41:34  EXIT_TP            30.0
    1754        416        388 SHORT  2026-06-30 18:56:00  EXIT_SL           -10.0
    1755        417        388 SHORT  2026-06-30 18:56:00  EXIT_SL           -10.0
    1783        436        388 SHORT  2026-06-30 19:33:05  EXIT_SL           -10.0
    1843        448        388 SHORT  2026-06-30 20:13:30  EXIT_SL           -10.0
    1847        351        388 SHORT  2026-06-30 20:15:07  EXIT_SL           -10.0
    1920        439        456 LONG   2026-06-30 21:50:30  EXIT_SESSION        4.0
    1938        469        456 LONG   2026-06-30 21:59:38  EXIT_SESSION        6.0
    1991        431        456 LONG   2026-07-01 03:16:30  EXIT_SL           -10.0
    1992        433        456 LONG   2026-07-01 03:16:30  EXIT_SL           -10.0
    2004        430        456 LONG   2026-07-01 03:25:01  EXIT_SL           -10.0
    2013        428        456 LONG   2026-07-01 03:40:00  EXIT_SL           -10.0
    2022        424        456 LONG   2026-07-01 03:48:06  EXIT_SL           -10.0
    2088        491        497 SHORT  2026-07-01 06:32:30  EXIT_SL           -10.0
    2154        503        497 SHORT  2026-07-01 07:57:00  EXIT_SL           -10.0
    2161        478        497 SHORT  2026-07-01 08:00:20  EXIT_SL           -10.0
    2206        511        497 SHORT  2026-07-01 08:39:07  EXIT_SL           -10.0
    2213        509        497 SHORT  2026-07-01 08:47:00  EXIT_SL           -10.0
    2765        578        615 SHORT  2026-07-01 17:29:33  EXIT_SL           -10.0
    2769        575        615 SHORT  2026-07-01 17:29:48  EXIT_SL           -10.0
    2783        565        615 SHORT  2026-07-01 17:31:59  EXIT_TP            30.0
    3092        661        683 SHORT  2026-07-02 03:30:00  EXIT_SL           -10.0
    3266        734        712 LONG   2026-07-02 08:47:59  EXIT_SL           -10.0
    3285        699        712 LONG   2026-07-02 08:59:34  EXIT_SL           -10.0
    3868        902        916 SHORT  2026-07-02 21:46:04  EXIT_SL           -10.0
    3872        882        916 SHORT  2026-07-02 21:51:38  EXIT_SL           -10.0
    3874        896        916 SHORT  2026-07-02 21:52:00  EXIT_SL           -10.0
    3876        894        916 SHORT  2026-07-02 21:52:38  EXIT_SL           -10.0
    3880        880        916 SHORT  2026-07-02 21:53:36  EXIT_SL           -10.0
    3893        872        916 SHORT  2026-07-03 02:15:00  EXIT_TP            30.0
    4440       1017       1054 SHORT  2026-07-03 15:00:31  EXIT_SL           -10.0
    4469       1091       1054 SHORT  2026-07-03 15:46:21  EXIT_SL           -10.0
    4471       1095       1054 SHORT  2026-07-03 15:47:05  EXIT_SL           -10.0
    4480       1013       1054 SHORT  2026-07-03 15:56:42  EXIT_SL           -10.0
    4488       1011       1054 SHORT  2026-07-03 16:05:14  EXIT_TP            30.0
    4519       1112       1054 SHORT  2026-07-03 16:40:26  EXIT_SL           -10.0
    4526       1111       1054 SHORT  2026-07-03 16:42:09  EXIT_SL           -10.0
    4532       1007       1054 SHORT  2026-07-03 16:56:37  EXIT_SL           -10.0
    6028       1328       1356 LONG   2026-07-07 05:52:30  EXIT_SL           -10.0
    6054       1422       1356 LONG   2026-07-07 06:18:30  EXIT_SL           -10.0
    6080       1321       1356 LONG   2026-07-07 07:09:59  EXIT_SL           -10.0
    6351       1442       1469 LONG   2026-07-07 10:50:00  EXIT_SL           -10.0
    6364       1438       1469 LONG   2026-07-07 10:59:59  EXIT_SL           -10.0
    6367       1436       1469 LONG   2026-07-07 11:00:12  EXIT_SL           -10.0
    6370       1435       1469 LONG   2026-07-07 11:00:30  EXIT_SL           -10.0
    6391       1486       1469 LONG   2026-07-07 11:34:07  EXIT_SL           -10.0
    6392       1490       1469 LONG   2026-07-07 11:34:07  EXIT_SL           -10.0
    7174       1635       1648 LONG   2026-07-08 07:51:12  EXIT_SL           -10.0
    7474        304        340 LONG   2026-07-08 11:13:29  EXIT_SL           -10.0
    8173       1781       1824 SHORT  2026-07-09 04:11:25  EXIT_SL           -10.0
    8258       1885       1824 SHORT  2026-07-09 07:11:59  EXIT_TP            30.0
    8283       1899       1824 SHORT  2026-07-09 07:47:00  EXIT_SL           -10.0
    9162       2101       2110 LONG   2026-07-10 05:28:35  EXIT_SL           -10.0
    9853       2187       2221 LONG   2026-07-10 16:32:31  EXIT_SL           -10.0
    9855       2182       2221 LONG   2026-07-10 16:32:32  EXIT_SL           -10.0
   11462       2575       2580 SHORT  2026-07-14 06:04:00  EXIT_TP            30.0
   11481       2561       2580 SHORT  2026-07-14 06:35:00  EXIT_SL           -10.0
   11483       2564       2580 SHORT  2026-07-14 06:35:00  EXIT_SL           -10.0
   11753       2648       2642 SHORT  2026-07-14 11:48:28  EXIT_SL           -10.0
   13626       3006       3027 LONG   2026-07-16 03:18:00  EXIT_TP            30.0
   14203        181        203 LONG   2026-07-16 13:49:41  EXIT_TP            30.0
   14505       3113       3150 SHORT  2026-07-16 17:42:59  EXIT_TP            30.0
   15790       3461       3480 SHORT  2026-07-20 02:15:12  EXIT_TP            30.0
   15913       3500       3504 LONG   2026-07-20 07:54:00  EXIT_SL           -10.0
   16060       3508       3533 SHORT  2026-07-20 09:34:17  EXIT_SL           -10.0
   17080       3683       3711 SHORT  2026-07-21 09:00:32  EXIT_SL           -10.0
   18132       3940       3965 LONG   2026-07-22 08:17:41  EXIT_SL           -10.0
   18136       3934       3965 LONG   2026-07-22 08:18:00  EXIT_TP            30.0
   18872       4149       4167 LONG   2026-07-22 20:01:00  EXIT_SL           -10.0
   18876       4158       4167 LONG   2026-07-22 20:01:00  EXIT_SL           -10.0
   18877       4139       4167 LONG   2026-07-22 20:02:00  EXIT_SL           -10.0
   19054       4168       4206 SHORT  2026-07-23 02:27:00  EXIT_SL           -10.0
   19055       4169       4206 SHORT  2026-07-23 02:27:00  EXIT_SL           -10.0
   19130       4202       4213 LONG   2026-07-23 05:10:30  EXIT_SL           -10.0
   19132       4203       4213 LONG   2026-07-23 05:10:30  EXIT_SL           -10.0
   20153       4433       4442 LONG   2026-07-24 04:47:00  EXIT_SL           -10.0
   20331       4394       4421 SHORT  2026-07-24 09:02:39  EXIT_SL           -10.0
   21592       1653       1661 SHORT  2026-07-27 12:39:31  EXIT_SL           -10.0
   22171       4884       4910 LONG   2026-07-28 02:48:30  EXIT_SL           -10.0
   22181       4880       4910 LONG   2026-07-28 03:13:00  EXIT_TP            30.0
   22183       4882       4910 LONG   2026-07-28 03:13:00  EXIT_TP            30.0
   22208       4916       4910 LONG   2026-07-28 03:59:00  EXIT_TP            30.0
   22237       4921       4910 LONG   2026-07-28 05:01:00  EXIT_TP            30.0
   22293       4906       4919 SHORT  2026-07-28 05:39:30  EXIT_SL           -10.0
